ses: 80 hidden tasks, 100 samples each
00:05:58 [45/80] task_244 H=2798 paths=100/100 (0.2s, elapsed 0.0m, eta 0m)
00:05:58 [46/80] task_245 H=1510 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
00:05:58 [47/80] task_246 H=852 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
00:05:58 [48/80] task_247 H=853 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
00:05:59 [49/80] task_248 H=1511 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
00:05:59 [50/80] task_249 H=2798 paths=100/100 (0.2s, elapsed 0.0m, eta 0m)
00:05:59 [51/80] task_250 H=1510 paths=100/100 (0.1s, elapsed 0.0m, eta 0m)
00:05:59 [52/80] task_251 H=63 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
00:05:59 [53/80] task_252 H=63 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
00:05:59 [54/80] task_253 H=63 paths=100/100 (0.0s, elapsed 0.0m, eta 0m)
00:05:59 [55/80] task_254 H=63 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [56/80] task_255 H=63 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [57/80] task_256 H=19 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [58/80] task_257 H=19 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [59/80] task_258 H=16 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [60/80] task_259 H=15 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [61/80] task_260 H=15 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [62/80] task_261 H=70 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [63/80] task_262 H=69 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [64/80] task_263 H=64 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [65/80] task_264 H=83 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [66/80] task_265 H=83 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [67/80] task_266 H=61 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [68/80] task_267 H=61 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [69/80] task_268 H=22 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [70/80] task_269 H=22 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [71/80] task_270 H=27 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [72/80] task_271 H=22 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [73/80] task_272 H=64 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [74/80] task_273 H=170 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [75/80] task_274 H=27 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [76/80] task_275 H=22 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [77/80] task_276 H=21 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [78/80] task_277 H=27 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [79/80] task_278 H=27 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
00:05:59 [80/80] task_279 H=26 paths=100/100 (0.0s, elapsed 0.1m, eta 0m)
wrote 80 forecasts to baseline/submissions/ses_zero_shot/forecasts.jsonl
